DEPNOMBRE,municipios,cepeda_municipios,pct_cepeda_promedio,pct_oposicion_promedio,ipm_promedio,pct_rural_promedio,municipios_renidos,oposicion_municipios,ganador_dep,pct_municipios_cepeda
AMAZONAS,3,2,49.22,50.78,53.9,31.78,1,1,Cepeda,66.7
ARAUCA,7,5,49.72,50.28,44.99,42.94,6,2,Cepeda,71.4
BOGOTA D.C.,1,0,42.24,57.76,9.0,0.42,0,1,Oposición,0.0
BOLIVAR,46,30,51.41,48.59,57.18,46.49,28,16,Cepeda,65.2
BOYACA,123,77,50.63,49.37,38.01,56.98,74,46,Cepeda,62.6
CALDAS,27,8,48.36,51.64,32.56,39.76,19,19,Oposición,29.6
CAQUETA,16,12,50.94,49.06,51.84,54.01,12,4,Cepeda,75.0
CASANARE,18,11,49.19,50.81,39.63,42.89,12,7,Cepeda,61.1
CAUCA,42,35,52.45,47.55,44.25,72.34,11,7,Cepeda,83.3
CESAR,25,8,49.49,50.51,45.32,38.42,16,17,Oposición,32.0
CHOCO,22,19,53.74,46.26,64.92,66.42,7,3,Cepeda,86.4
CORDOBA,30,26,52.24,47.76,51.88,60.11,15,4,Cepeda,86.7
CUNDINAMARCA,115,59,48.87,51.13,28.13,46.63,80,56,Cepeda,51.3
GUAVIARE,4,3,50.05,49.95,44.3,46.4,2,1,Cepeda,75.0
HUILA,35,19,50.46,49.54,40.03,55.15,25,16,Cepeda,54.3
MAGDALENA,26,10,51.4,48.6,55.19,49.31,10,16,Oposición,38.5
NARIÑO,51,25,51.68,48.32,40.46,64.16,26,26,Oposición,49.0
NORTE DE SAN,40,28,51.12,48.88,49.61,57.59,19,12,Cepeda,70.0
QUINDIO,12,3,47.98,52.02,27.78,37.02,5,9,Oposición,25.0
RISARALDA,14,6,49.02,50.98,36.41,43.59,7,8,Oposición,42.9
SANTANDER,87,57,50.23,49.77,38.95,53.97,53,30,Cepeda,65.5
SUCRE,20,12,51.95,48.05,55.12,53.52,9,8,Cepeda,60.0
TOLIMA,45,23,50.09,49.91,39.26,52.27,29,22,Cepeda,51.1
VALLE,40,10,47.49,52.51,26.1,35.0,17,30,Oposición,25.0
VAUPES,3,3,53.97,46.03,80.5,69.16,0,0,Cepeda,100.0
VICHADA,4,4,52.59,47.41,66.78,51.39,3,0,Cepeda,100.0
